"ori_node";"des_node";"ori_layer"
7485;50971;2
7551;13144;2
7551;45116;2
7554;33475;2
7554;38644;2
7562;35310;2
7564;21648;2
7564;32925;2
7581;32057;2
7581;37032;2
7581;37842;2
7581;214762;2
7585;13471;2
7585;47209;2
7588;915;2
7588;2837;2
7588;10217;2
7588;12281;2
7588;14766;2
7588;16866;2
7588;29286;2
7588;29412;2
7588;30473;2
7588;34872;2
7611;1807;2
7611;4534;2
7611;4919;2
7611;7300;2
7611;11603;2
7611;12162;2
7611;13167;2
7611;17208;2
7611;40903;2
7611;41992;2
7611;42938;2
7611;43778;2
7611;48572;2
7611;51183;2
7611;97632;2
7616;1495;2
7616;33800;2
7616;36360;2
7616;43210;2
7649;39925;2
7649;45432;2
7679;17920;2
7679;22583;2
7745;3433;2
7745;29406;2
7745;42304;2
7757;34325;2
7757;38707;2
7757;42298;2
7757;213735;2
7761;3057;2
7761;49508;2
7797;43201;2
7884;121355;2
7884;209365;2
7922;11542;2
7922;17423;2
7948;1112;2
7948;18003;2
7980;12678;2
7980;27200;2
7990;44189;2
7990;49781;2
8020;26219;2
8020;33257;2
8020;38876;2
8076;832;2
8076;10974;2
8076;23368;2
8076;41040;2
8078;15624;2
8078;25235;2
8078;37842;2
8078;150122;2
8080;32483;2
8080;47419;2
8105;14357;2
8105;18421;2
8108;7432;2
8108;45147;2
8116;8116;2
8116;10804;2
8116;25410;2
8142;6235;2
8142;7032;2
8142;22307;2
8142;23964;2
8142;27200;2
8142;40360;2
8142;49901;2
8189;1176;2
8189;11626;2
8189;24439;2
8189;43369;2
8189;49694;2
8194;28003;2
8194;31310;2
8280;16907;2
8280;21898;2
8280;35634;2
8290;1943;2
8290;10297;2
8290;18547;2
8290;19633;2
8290;20198;2
8290;20725;2
